__________________________________________________________________________________________________________________
| Rank| Document ID| Document Score| Relevance Level| Precision          | Recall             | NDCG              |
|=================================================================================================================|
| 1   | CACM-1795  | 0.64332205    | 1              | 1.0                | 0.09090909090909091| 1.0               |
| 2   | CACM-2495  | 0.5975083     | 1              | 1.0                | 0.18181818181818182| 1.0               |
| 3   | CACM-1947  | 0.5535952     | 1              | 1.0                | 0.2727272727272727 | 1.0               |
| 4   | CACM-2748  | 0.528035      | 0              | 0.75               | 0.2727272727272727 | 0.8403030283801005|
| 5   | CACM-2559  | 0.4950907     | 0              | 0.6                | 0.2727272727272727 | 0.7386919056633241|
| 6   | CACM-1886  | 0.44647112    | 0              | 0.5                | 0.2727272727272727 | 0.6663180938082345|
| 7   | CACM-2897  | 0.43843484    | 1              | 0.5714285714285714 | 0.36363636363636365| 0.6939299653784159|
| 8   | CACM-2904  | 0.38659886    | 0              | 0.5                | 0.36363636363636365| 0.64405717399257  |
| 9   | CACM-3080  | 0.38377044    | 0              | 0.4444444444444444 | 0.36363636363636365| 0.6030399392115622|
| 10  | CACM-2491  | 0.37791464    | 0              | 0.4                | 0.36363636363636365| 0.5684917805105841|
| 11  | CACM-2680  | 0.3617208     | 0              | 0.36363636363636365| 0.36363636363636365| 0.538848194544549 |
| 12  | CACM-2537  | 0.3568571     | 0              | 0.3333333333333333 | 0.36363636363636365| 0.538848194544549 |
| 13  | CACM-3171  | 0.34712863    | 0              | 0.3076923076923077 | 0.36363636363636365| 0.538848194544549 |
| 14  | CACM-2464  | 0.3463252     | 0              | 0.2857142857142857 | 0.36363636363636365| 0.538848194544549 |
| 15  | CACM-1195  | 0.33868977    | 0              | 0.26666666666666666| 0.36363636363636365| 0.538848194544549 |
| 16  | CACM-2253  | 0.32735753    | 0              | 0.25               | 0.36363636363636365| 0.538848194544549 |
| 17  | CACM-2944  | 0.3262091     | 0              | 0.23529411764705882| 0.36363636363636365| 0.538848194544549 |
| 18  | CACM-2929  | 0.31939238    | 0              | 0.2222222222222222 | 0.36363636363636365| 0.538848194544549 |
| 19  | CACM-1655  | 0.30841085    | 0              | 0.21052631578947367| 0.36363636363636365| 0.538848194544549 |
| 20  | CACM-2716  | 0.28945735    | 0              | 0.2                | 0.36363636363636365| 0.538848194544549 |
| 21  | CACM-1564  | 0.2743894     | 0              | 0.19047619047619047| 0.36363636363636365| 0.538848194544549 |
