__________________________________________________________________________________________________________________
| Rank| Document ID| Document Score| Relevance Level| Precision          | Recall             | NDCG              |
|=================================================================================================================|
| 1   | CACM-2973  | 1.0088185     | 1              | 1.0                | 0.09090909090909091| 1.0               |
| 2   | CACM-3075  | 0.9137456     | 1              | 1.0                | 0.18181818181818182| 1.0               |
| 3   | CACM-2557  | 0.8322328     | 0              | 0.6666666666666666 | 0.18181818181818182| 0.7601875334318686|
| 4   | CACM-2266  | 0.8261164     | 1              | 0.75               | 0.2727272727272727 | 0.7984848580994975|
| 5   | CACM-3156  | 0.8261164     | 1              | 0.8                | 0.36363636363636365| 0.8228524720689648|
| 6   | CACM-1601  | 0.76765776    | 1              | 0.8333333333333334 | 0.45454545454545453| 0.8402086144048717|
| 7   | CACM-0950  | 0.68843037    | 1              | 0.8571428571428571 | 0.5454545454545454 | 0.8534312049475498|
| 8   | CACM-1468  | 0.68843037    | 0              | 0.75               | 0.5454545454545454 | 0.7920950491824509|
| 9   | CACM-2433  | 0.594452      | 0              | 0.6666666666666666 | 0.5454545454545454 | 0.7416499180463674|
| 10  | CACM-2570  | 0.594452      | 0              | 0.6                | 0.5454545454545454 | 0.6991607935238137|
| 11  | CACM-2289  | 0.5686563     | 0              | 0.5454545454545454 | 0.5454545454545454 | 0.6627035679359784|
| 12  | CACM-1957  | 0.5663724     | 0              | 0.5                | 0.5454545454545454 | 0.6627035679359784|
| 13  | CACM-2838  | 0.5339811     | 0              | 0.46153846153846156| 0.5454545454545454 | 0.6627035679359784|
| 14  | CACM-2692  | 0.48292387    | 0              | 0.42857142857142855| 0.5454545454545454 | 0.6627035679359784|
| 15  | CACM-0141  | 0.4730892     | 1              | 0.4666666666666667 | 0.6363636363636364 | 0.7088757127980699|
| 16  | CACM-0392  | 0.4730892     | 0              | 0.4375             | 0.6363636363636364 | 0.7088757127980699|
| 17  | CACM-1302  | 0.4730892     | 0              | 0.4117647058823529 | 0.6363636363636364 | 0.7088757127980699|
| 18  | CACM-2114  | 0.47197703    | 0              | 0.3888888888888889 | 0.6363636363636364 | 0.7088757127980699|
| 19  | CACM-2723  | 0.47197703    | 0              | 0.3684210526315789 | 0.6363636363636364 | 0.7088757127980699|
| 20  | CACM-2182  | 0.41395304    | 0              | 0.35               | 0.6363636363636364 | 0.7088757127980699|
| 21  | CACM-2685  | 0.40970725    | 0              | 0.3333333333333333 | 0.6363636363636364 | 0.7088757127980699|
| 22  | CACM-2714  | 0.39114887    | 1              | 0.36363636363636365| 0.7272727272727273 | 0.7493269482844217|
| 23  | CACM-2896  | 0.35849383    | 0              | 0.34782608695652173| 0.7272727272727273 | 0.7493269482844217|
| 24  | CACM-1262  | 0.35481688    | 0              | 0.3333333333333333 | 0.7272727272727273 | 0.7493269482844217|
| 25  | CACM-1367  | 0.35481688    | 0              | 0.32               | 0.7272727272727273 | 0.7493269482844217|
| 26  | CACM-1795  | 0.35481688    | 0              | 0.3076923076923077 | 0.7272727272727273 | 0.7493269482844217|
| 27  | CACM-1828  | 0.35481688    | 0              | 0.2962962962962963 | 0.7272727272727273 | 0.7493269482844217|
| 28  | CACM-2700  | 0.35481688    | 0              | 0.2857142857142857 | 0.7272727272727273 | 0.7493269482844217|
| 29  | CACM-2007  | 0.3525926     | 0              | 0.27586206896551724| 0.7272727272727273 | 0.7493269482844217|
| 30  | CACM-0371  | 0.34904885    | 0              | 0.26666666666666666| 0.7272727272727273 | 0.7493269482844217|
| 31  | CACM-1158  | 0.33452457    | 0              | 0.25806451612903225| 0.7272727272727273 | 0.7493269482844217|
| 32  | CACM-2785  | 0.30728042    | 0              | 0.25               | 0.7272727272727273 | 0.7493269482844217|
| 33  | CACM-1796  | 0.29918474    | 0              | 0.24242424242424243| 0.7272727272727273 | 0.7493269482844217|
| 34  | CACM-2952  | 0.29568073    | 0              | 0.23529411764705882| 0.7272727272727273 | 0.7493269482844217|
| 35  | CACM-2895  | 0.292709      | 0              | 0.22857142857142856| 0.7272727272727273 | 0.7493269482844217|
| 36  | CACM-1811  | 0.2897068     | 0              | 0.2222222222222222 | 0.7272727272727273 | 0.7493269482844217|
| 37  | CACM-0270  | 0.28207406    | 0              | 0.21621621621621623| 0.7272727272727273 | 0.7493269482844217|
| 38  | CACM-0804  | 0.28207406    | 0              | 0.21052631578947367| 0.7272727272727273 | 0.7493269482844217|
| 39  | CACM-1342  | 0.28207406    | 0              | 0.20512820512820512| 0.7272727272727273 | 0.7493269482844217|
| 40  | CACM-1660  | 0.28207406    | 0              | 0.2                | 0.7272727272727273 | 0.7493269482844217|
| 41  | CACM-1952  | 0.28207406    | 0              | 0.1951219512195122 | 0.7272727272727273 | 0.7493269482844217|
| 42  | CACM-2325  | 0.28207406    | 0              | 0.19047619047619047| 0.7272727272727273 | 0.7493269482844217|
| 43  | CACM-2342  | 0.2644649     | 0              | 0.18604651162790697| 0.7272727272727273 | 0.7493269482844217|
| 44  | CACM-2851  | 0.2644649     | 0              | 0.18181818181818182| 0.7272727272727273 | 0.7493269482844217|
| 45  | CACM-2401  | 0.25606704    | 0              | 0.17777777777777778| 0.7272727272727273 | 0.7493269482844217|
| 46  | CACM-2865  | 0.25606704    | 0              | 0.17391304347826086| 0.7272727272727273 | 0.7493269482844217|
| 47  | CACM-3059  | 0.25606704    | 0              | 0.1702127659574468 | 0.7272727272727273 | 0.7493269482844217|
| 48  | CACM-2080  | 0.2508934     | 0              | 0.16666666666666666| 0.7272727272727273 | 0.7493269482844217|
| 49  | CACM-3073  | 0.2508934     | 0              | 0.16326530612244897| 0.7272727272727273 | 0.7493269482844217|
| 50  | CACM-1374  | 0.2468148     | 0              | 0.16               | 0.7272727272727273 | 0.7493269482844217|
