_______________________________________________________________________________________________________
| Rank| Document ID| Document Score| Relevance Level| Precision           | Recall| NDCG               |
|======================================================================================================|
| 1   | CACM-3127  | 1.1755296     | 1              | 1.0                 | 0.2   | 1.0                |
| 2   | CACM-1461  | 0.50642985    | 0              | 0.5                 | 0.2   | 0.5                |
| 3   | CACM-3068  | 0.40902123    | 0              | 0.3333333333333333  | 0.2   | 0.3800937667159343 |
| 4   | CACM-2246  | 0.3299833     | 1              | 0.5                 | 0.4   | 0.47909091485969857|
| 5   | CACM-2111  | 0.3230007     | 0              | 0.4                 | 0.4   | 0.4211582832992167 |
| 6   | CACM-2069  | 0.31651866    | 0              | 0.3333333333333333  | 0.4   | 0.4211582832992167 |
| 7   | CACM-2319  | 0.30766326    | 0              | 0.2857142857142857  | 0.4   | 0.4211582832992167 |
| 8   | CACM-2740  | 0.30766326    | 0              | 0.25                | 0.4   | 0.4211582832992167 |
| 9   | CACM-1462  | 0.28890023    | 0              | 0.2222222222222222  | 0.4   | 0.4211582832992167 |
| 10  | CACM-1728  | 0.28890023    | 0              | 0.2                 | 0.4   | 0.4211582832992167 |
| 11  | CACM-2597  | 0.28045723    | 0              | 0.18181818181818182 | 0.4   | 0.4211582832992167 |
| 12  | CACM-2629  | 0.28045723    | 1              | 0.25                | 0.6   | 0.4994777047184544 |
| 13  | CACM-1750  | 0.2741132     | 0              | 0.23076923076923078 | 0.6   | 0.4994777047184544 |
| 14  | CACM-2372  | 0.26916727    | 0              | 0.21428571428571427 | 0.6   | 0.4994777047184544 |
| 15  | CACM-1247  | 0.26857498    | 0              | 0.2                 | 0.6   | 0.4994777047184544 |
| 16  | CACM-2080  | 0.26857498    | 1              | 0.25                | 0.8   | 0.5696707519349904 |
| 17  | CACM-2482  | 0.26857498    | 0              | 0.23529411764705882 | 0.8   | 0.5696707519349904 |
| 18  | CACM-2867  | 0.26857498    | 0              | 0.2222222222222222  | 0.8   | 0.5696707519349904 |
| 19  | CACM-2379  | 0.26133278    | 0              | 0.21052631578947367 | 0.8   | 0.5696707519349904 |
| 20  | CACM-1923  | 0.25321493    | 0              | 0.2                 | 0.8   | 0.5696707519349904 |
| 21  | CACM-1680  | 0.24681911    | 0              | 0.19047619047619047 | 0.8   | 0.5696707519349904 |
| 22  | CACM-2840  | 0.24135262    | 0              | 0.18181818181818182 | 0.8   | 0.5696707519349904 |
| 23  | CACM-3025  | 0.24135262    | 0              | 0.17391304347826086 | 0.8   | 0.5696707519349904 |
| 24  | CACM-2621  | 0.23838985    | 0              | 0.16666666666666666 | 0.8   | 0.5696707519349904 |
| 25  | CACM-2378  | 0.23371433    | 0              | 0.16                | 0.8   | 0.5696707519349904 |
